WAP96,WAP100,WAP101,WAP102,WAP104,WAP105,WAP106,WAP107,WAP108,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE
-76,100,100,-85,100,-93,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,104D
-76,100,100,-85,100,-93,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,104D
-77,100,100,-88,100,-94,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,104D
-67,100,100,-90,100,100,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,104D
-68,100,100,-89,100,-95,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,104D
-75,100,100,-88,100,-98,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,104D
-75,100,100,-91,100,-95,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,104D
-72,100,100,-83,100,100,100,100,100,100,100,-95,100,100,-91,1615,1.5,14.8,104D
-84,100,100,-90,100,-97,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,1002
-87,100,100,-93,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1002
-82,100,100,-92,100,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1002
-77,100,100,-93,100,-96,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1002
-78,100,100,-91,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1002
-87,100,100,100,100,-95,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1002
-81,100,100,100,100,-97,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1002
-77,100,100,-87,100,100,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,10CE
-85,100,100,-87,100,-96,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,10CE
-80,100,100,-90,100,100,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,10CE
-75,100,100,-91,100,-93,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,10CE
-75,100,100,-87,100,100,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,10CE
-74,100,100,-91,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,10CE
-75,100,100,-91,100,-99,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,10CE
-81,100,100,-89,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,10CE
-75,100,100,-87,100,-95,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1210
-70,100,100,-83,100,-93,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1210
-65,100,100,-92,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1210
-73,100,100,-86,100,-96,100,100,100,100,100,100,100,100,-85,1615,1.5,14.8,1210
-72,100,100,-87,100,-93,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1210
-74,100,100,-87,100,-95,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,1210
-69,100,100,-85,100,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,1210
-68,100,100,-91,100,-94,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210
-71,100,100,-87,100,100,100,100,100,100,100,100,100,100,-96,1615,1.5,14.8,1210
-73,100,100,-86,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1211
-76,100,100,-87,100,-97,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,1211
-79,100,100,-89,100,-94,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1211
-71,100,100,-91,100,-96,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1211
-72,100,100,-88,100,-95,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1211
-71,100,100,-91,100,-98,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1211
-74,100,100,-83,100,100,100,100,100,100,100,-94,100,100,-88,1615,1.5,14.8,1211
-78,100,100,-93,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1212
-80,100,100,-89,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1212
-78,100,100,-85,100,100,100,100,100,100,100,100,100,100,-96,1615,1.5,14.8,1212
-79,100,100,-89,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1212
-78,100,100,-85,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1212
-76,100,100,-91,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1212
-81,100,100,-91,100,100,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,1212
-77,100,100,-87,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210
-77,100,100,-87,100,-92,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210
-74,100,100,-89,100,-96,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210
-78,100,100,-87,100,-97,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1210
-73,100,100,-87,100,-93,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1210
-68,100,100,-88,100,-93,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210
-78,100,100,100,100,-97,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D
-77,100,100,-93,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,121D
-77,100,100,-90,100,-97,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,121D
-78,100,100,-94,100,-96,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D
-74,100,100,-91,100,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,121D
-77,100,100,-91,100,-92,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D
-80,100,100,-91,100,100,100,100,100,100,100,-94,100,100,-95,1615,1.5,14.8,1F61
-72,100,100,-91,100,100,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,1F61
