rho_0,alpha,cv_pw_distance
40.0,6.0,32.59798262220547
40.0,5.75,33.067390871351506
40.0,5.5,33.90249142088949
40.0,5.25,35.004537120702004
40.0,5.0,36.17093228204036
40.0,4.75,37.09154699329544
40.0,4.5,37.401529506448135
40.0,1.25,37.404268594607636
40.0,3.0,37.40482993544158
40.0,2.5,37.40542098408186
40.0,3.5,37.40544727364957
40.0,3.75,37.40557171546176
40.0,1.0,37.40570022244416
40.0,4.0,37.40585170317405
40.0,1.75,37.40606404531309
40.0,4.25,37.4061089160088
40.0,2.75,37.406153568685795
40.0,2.0,37.4061885005825
40.0,3.25,37.40620932695092
40.0,2.25,37.40642917930021
40.0,1.5,37.407335810598916
42.5,6.0,32.56235594212177
42.5,5.75,32.59770330734001
42.5,5.5,33.098627762620346
42.5,5.25,33.98634151962865
42.5,5.0,35.15806471490684
42.5,4.75,36.3659145117079
42.5,4.5,37.21832517240486
42.5,1.25,37.404268594607636
42.5,3.0,37.40482993544158
42.5,2.5,37.40542098408185
42.5,3.5,37.40544727364957
42.5,3.75,37.40557171546176
42.5,1.0,37.40570022244416
42.5,4.0,37.405851703174044
42.5,1.75,37.40606404531309
42.5,2.75,37.406153568685795
42.5,2.0,37.4061885005825
42.5,3.25,37.40620932695092
42.5,2.25,37.40642917930022
42.5,1.5,37.407335810598916
42.5,4.25,37.407591502629714
45.0,5.75,32.57019161896138
45.0,5.5,32.59869211594695
45.0,6.0,32.96877144434618
45.0,5.25,33.13078914383017
45.0,5.0,34.081915758828714
45.0,4.75,35.32697422394095
45.0,4.5,36.56891143984697
45.0,4.25,37.31086950628353
45.0,1.25,37.404268594607636
45.0,3.0,37.40482993544158
45.0,2.5,37.40542098408185
45.0,3.5,37.40544727364957
45.0,3.75,37.40557171546176
45.0,1.0,37.40570022244416
45.0,1.75,37.40606404531309
45.0,2.75,37.406153568685795
45.0,2.0,37.4061885005825
45.0,3.25,37.40620932695092
45.0,4.0,37.406304212288354
45.0,2.25,37.40642917930022
45.0,1.5,37.407335810598916
47.5,5.5,32.581204523985505
47.5,5.25,32.597568059346045
47.5,5.75,33.027806342465766
47.5,5.0,33.16762348627607
47.5,6.0,33.88870426929928
47.5,4.75,34.19347961216352
47.5,4.5,35.51260568503472
47.5,4.25,36.767094431744184
47.5,4.0,37.37000842104551
47.5,1.25,37.404268594607636
47.5,3.0,37.40482993544158
47.5,2.5,37.40542098408186
47.5,3.5,37.40544727364957
47.5,3.75,37.40562489530267
47.5,1.0,37.40570022244416
47.5,1.75,37.40606404531309
47.5,2.75,37.40615356868579
47.5,2.0,37.4061885005825
47.5,3.25,37.40620932695092
47.5,2.25,37.40642917930022
47.5,1.5,37.40733581059891
50.0,5.25,32.59196058949937
50.0,5.0,32.597851443531475
50.0,5.5,33.096621327240754
50.0,4.75,33.20892173769942
50.0,5.75,34.05782856877169
50.0,4.5,34.31981032761319
50.0,6.0,35.47652725218368
50.0,4.25,35.716119650815855
50.0,4.0,36.952012526235606
50.0,3.75,37.40118177647627
50.0,1.25,37.404268594607636
50.0,3.0,37.40482993544158
50.0,2.5,37.40542098408185
50.0,3.5,37.40544727364957
50.0,1.0,37.40570022244416
50.0,1.75,37.40606404531309
50.0,2.75,37.406153568685795
50.0,2.0,37.4061885005825
50.0,3.25,37.40620932695092
50.0,2.25,37.40642917930021
50.0,1.5,37.40733581059891
52.5,4.75,32.598089899021694
