rho_0,alpha,cv_pw_distance
40.0,6.0,34.05837508894709
40.0,5.75,34.70236968894548
40.0,5.5,35.8642362925715
40.0,5.25,37.483997191665274
40.0,5.0,39.23661826080738
40.0,4.75,40.81545534175053
40.0,4.5,42.00904067627736
40.0,4.25,42.819608088972686
40.0,1.25,43.18909545339765
40.0,1.75,43.19062702572764
40.0,1.0,43.19071407193883
40.0,3.25,43.19110482107906
40.0,2.0,43.19112067592401
40.0,3.0,43.19118416984406
40.0,2.5,43.19118854178632
40.0,3.5,43.19152895867534
40.0,2.75,43.191591718363966
40.0,1.5,43.19226971415755
40.0,2.25,43.192321963050546
40.0,3.75,43.20175875724144
40.0,4.0,43.216245374285364
42.5,6.0,33.94772059158737
42.5,5.75,34.05798985588224
42.5,5.5,34.74407587215101
42.5,5.25,35.98782460805835
42.5,5.0,37.712868565167945
42.5,4.75,39.53040027393642
42.5,4.5,41.10981298295629
42.5,4.25,42.25535123898834
42.5,4.0,42.98900378957677
42.5,1.25,43.18909545339765
42.5,1.75,43.19062702572764
42.5,1.0,43.19071407193883
42.5,3.25,43.19110482107906
42.5,2.0,43.19112067592401
42.5,3.0,43.19118416984406
42.5,2.5,43.19118854178631
42.5,3.5,43.19152895867534
42.5,2.75,43.191591718363966
42.5,1.5,43.19226971415755
42.5,2.25,43.192321963050546
42.5,3.75,43.243188891049115
45.0,5.75,33.95379625397798
45.0,5.5,34.05869327242064
45.0,6.0,34.33944513949459
45.0,5.25,34.789243726190314
45.0,5.0,36.128391930823796
45.0,4.75,37.963770486492805
45.0,4.5,39.842110793522004
45.0,4.25,41.41380748690647
45.0,4.0,42.49262134019156
45.0,3.75,43.12743965168271
45.0,1.25,43.18909545339765
45.0,1.75,43.19062702572764
45.0,1.0,43.19071407193883
45.0,3.25,43.19110482107906
45.0,2.0,43.19112067592401
45.0,3.0,43.19118416984406
45.0,2.5,43.19118854178631
45.0,2.75,43.191591718363966
45.0,1.5,43.19226971415755
45.0,2.25,43.192321963050546
45.0,3.5,43.22531267979393
47.5,5.5,33.962799208186524
47.5,5.25,34.05860414707976
47.5,5.75,34.400688103712774
47.5,5.0,34.838118937159166
47.5,6.0,35.33199509036303
47.5,4.75,36.289648540344245
47.5,4.5,38.234817926499126
47.5,4.25,40.178039438415425
47.5,4.0,41.712780597064395
47.5,3.75,42.72678417827927
47.5,1.25,43.18909545339766
47.5,1.75,43.19062702572764
47.5,1.0,43.19071407193883
47.5,2.0,43.19112067592401
47.5,3.0,43.19118416984406
47.5,2.5,43.19118854178631
47.5,2.75,43.191591718363966
47.5,1.5,43.19226971415755
47.5,2.25,43.192321963050546
47.5,3.25,43.19495386499717
47.5,3.5,43.216216230522846
50.0,5.25,33.97279474905942
50.0,5.0,34.05813643533365
50.0,5.5,34.47369853520269
50.0,4.75,34.89386993136512
50.0,5.75,35.51876252994721
50.0,4.5,36.46927553159875
50.0,6.0,37.0796211399351
50.0,4.25,38.53806725896282
50.0,4.0,40.52845426081907
50.0,3.75,42.00941010227243
50.0,3.5,42.93494497746579
50.0,1.25,43.18909545339766
50.0,1.75,43.19062702572764
50.0,1.0,43.19071407193883
50.0,2.0,43.19112067592401
50.0,3.0,43.19118416984406
50.0,2.5,43.19118854178631
50.0,2.75,43.191591718363966
50.0,1.5,43.19226971415755
50.0,2.25,43.192321963050546
50.0,3.25,43.24330648896524
52.5,5.0,33.98568457868456
52.5,4.75,34.058359376674225
52.5,5.25,34.55636925708413
52.5,4.5,34.957217789284414
52.5,5.5,35.736299942257894
52.5,4.25,36.67654160623535
52.5,5.75,37.469270504259626
52.5,4.0,38.87315993635199
52.5,6.0,39.742085312377434
52.5,3.75,40.887860618811814
52.5,3.5,42.3031286223888
52.5,3.25,43.106490523916655
52.5,1.25,43.18909545339766
52.5,1.75,43.19062702572764
52.5,1.0,43.190714071938835
52.5,2.0,43.19112067592401
52.5,2.5,43.19118854178632
52.5,2.75,43.191591718363966
52.5,1.5,43.19226971415755
52.5,2.25,43.192321963050546
52.5,3.0,43.21555867630947
55.0,4.75,34.002816182566285
55.0,4.5,34.058681548687694
55.0,5.0,34.65198181666136
55.0,4.25,35.033088271501434
55.0,5.25,35.99201777996399
55.0,4.0,36.90860005285079
55.0,5.5,37.93203772989747
55.0,3.75,39.23650882040563
55.0,5.75,40.46293086815202
55.0,3.5,41.26339738458666
55.0,3.25,42.58782035873831
55.0,1.25,43.18909545339766
55.0,1.75,43.19062702572764
55.0,1.0,43.190714071938835
55.0,2.0,43.19112067592401
55.0,2.5,43.19118854178632
55.0,2.75,43.191591718363966
55.0,1.5,43.19226971415755
55.0,2.25,43.19232196305054
55.0,3.0,43.21585973071717
55.0,6.0,43.51845260114902
57.5,4.5,34.02310885982326
57.5,4.25,34.0591610595028
57.5,4.75,34.772617160259855
57.5,4.0,35.11952870182257
57.5,5.0,36.29221946679848
57.5,3.75,37.17858118352913
57.5,5.25,38.472163558728504
57.5,3.5,39.63262204566792
57.5,5.5,41.30900730127175
