rho_0,alpha,cv_pw_distance
40.0,6.0,29.971214181196014
40.0,5.75,30.170011235949435
40.0,5.5,30.975140453385492
40.0,5.25,32.438710443117245
40.0,5.0,34.40533977370841
40.0,4.75,36.67084525074426
40.0,4.5,38.920129844444176
40.0,4.25,40.81867555392588
40.0,4.0,41.939474345611465
40.0,1.25,42.192520785979134
40.0,1.75,42.193721046730396
40.0,2.0,42.193810108800875
40.0,1.0,42.19385966286971
40.0,3.25,42.19417759135771
40.0,3.0,42.19419063285385
40.0,3.75,42.19448970913536
40.0,2.5,42.194655681380695
40.0,2.75,42.194673494290335
40.0,3.5,42.19490307609192
40.0,2.25,42.19491196278772
40.0,1.5,42.19611223421501
42.5,5.75,29.971299104937692
42.5,5.5,30.19319618428435
42.5,6.0,30.313760137585188
42.5,5.25,31.075246876818426
42.5,5.0,32.672348622075624
42.5,4.75,34.78756854352738
42.5,4.5,37.169043185531045
42.5,4.25,39.46705585754236
42.5,4.0,41.25605505073003
42.5,3.75,42.10196462654382
42.5,1.25,42.19252078597913
42.5,1.75,42.193721046730396
42.5,2.0,42.193810108800875
42.5,1.0,42.19385966286971
42.5,3.25,42.19417759135771
42.5,3.0,42.19419063285385
42.5,2.5,42.194655681380695
42.5,2.75,42.19467349429035
42.5,3.5,42.19490307609192
42.5,2.25,42.19491196278772
42.5,1.5,42.19611223421501
45.0,5.5,29.971955229813872
45.0,5.25,30.218099628001948
45.0,5.75,30.340373681389572
45.0,6.0,31.16864701816113
45.0,5.0,31.192387541565342
45.0,4.75,32.936347819164915
45.0,4.5,35.2110042310579
45.0,4.25,37.71353509285229
45.0,4.0,40.027101538583324
45.0,3.75,41.63940474611362
45.0,3.5,42.18606283785318
45.0,1.25,42.19252078597913
45.0,1.75,42.193721046730396
45.0,2.0,42.193810108800875
45.0,1.0,42.19385966286971
45.0,3.25,42.19417759135771
45.0,3.0,42.19419063285383
45.0,2.5,42.194655681380695
45.0,2.75,42.19467349429035
45.0,2.25,42.19491196278772
45.0,1.5,42.19611223421501
47.5,5.25,29.971657897918124
47.5,5.0,30.245676001486245
47.5,5.5,30.370909052300377
47.5,5.75,31.269614287628734
47.5,4.75,31.327742788990054
47.5,6.0,32.59512055061749
47.5,4.5,33.22998269355056
47.5,4.25,35.68449983141786
47.5,4.0,38.29699152147815
47.5,3.75,40.58720485573878
47.5,3.5,41.93972939536281
47.5,1.25,42.192520785979134
47.5,1.75,42.19372104673039
47.5,2.0,42.193810108800875
47.5,1.0,42.19385966286971
47.5,3.0,42.19419063285385
47.5,2.5,42.194655681380695
47.5,2.75,42.19467349429035
47.5,3.25,42.1947895744837
47.5,2.25,42.19491196278772
47.5,1.5,42.19611223421501
50.0,5.0,29.97137264879156
50.0,4.75,30.277976918542375
50.0,5.25,30.404465013387444
50.0,5.5,31.385131884967322
50.0,4.5,31.481184321594103
50.0,5.75,32.83559496423602
50.0,4.25,33.565359957156076
50.0,6.0,34.77030782521383
50.0,4.0,36.2097977230256
50.0,3.75,38.92016937261766
50.0,3.5,41.11618624022844
50.0,3.25,42.11917726594372
50.0,1.25,42.192520785979134
50.0,1.75,42.19372104673039
50.0,2.0,42.193810108800875
50.0,1.0,42.193859662869706
50.0,3.0,42.19419063285383
50.0,2.5,42.194655681380695
50.0,2.75,42.19467349429035
50.0,2.25,42.19491196278772
50.0,1.5,42.19611223421501
52.5,4.75,29.971369779203034
52.5,4.5,30.31622590752975
52.5,5.0,30.44393056281301
52.5,5.25,31.514328977207374
52.5,4.25,31.66287041718408
52.5,5.5,33.11302974119255
52.5,4.0,33.95486177910682
52.5,5.75,35.23158095977345
52.5,6.0,36.26448432366564
52.5,3.75,36.79091611950203
52.5,3.5,39.5788771948538
52.5,3.25,41.57936393784176
52.5,3.0,42.19195735690125
52.5,1.25,42.192520785979134
52.5,1.75,42.19372104673039
52.5,2.0,42.193810108800875
52.5,1.0,42.193859662869706
52.5,2.5,42.194655681380695
52.5,2.75,42.19467349429035
52.5,2.25,42.19491196278772
52.5,1.5,42.19611223421501
55.0,4.5,29.971774352576368
55.0,4.25,30.363838054780505
55.0,4.75,30.49002461487907
55.0,5.0,31.66250367715252
55.0,4.0,31.87634381514827
