LABEL,ROOM
1611,Room 1
1613,Room 1
1615,Room 1
1631,Room 1
1633,Room 1
1635,Room 1
1651,Room 1
1653,Room 1
1655,Room 1
1671,Room 1
1673,Room 1
1675,Room 1
1691,Room 1
1693,Room 1
1695,Room 1
3911,Room 6
3913,Room 6
3915,Room 6
3931,Room 6
3933,Room 6
3935,Room 6
3951,Room 6
3953,Room 6
3955,Room 6
4011,Room 4
4013,Room 4
4015,Room 4
4031,Room 4
4033,Room 4
4035,Room 4
4051,Room 4
4053,Room 4
4055,Room 4
4111,Room 2
4113,Room 2
4115,Room 2
4117,Room 2
4131,Room 2
4133,Room 2
4135,Room 2
4137,Room 2
4151,Room 2
4153,Room 2
4155,Room 2
4157,Room 2
4311,Room 10
4313,Room 10
4315,Room 10
4331,Room 10
4333,Room 10
4335,Room 10
4351,Room 10
4353,Room 10
4355,Room 10
4371,Room 10
4373,Room 10
4375,Room 10
4511,Room 9
4513,Room 9
4515,Room 9
4531,Room 9
4533,Room 9
4535,Room 9
4551,Room 9
4553,Room 9
4555,Room 9
4571,Room 9
4573,Room 9
4575,Room 9
4611,Room 11
4613,Room 11
4615,Room 11
4631,Room 11
4633,Room 11
4635,Room 11
4651,Room 11
4653,Room 11
4655,Room 11
4671,Room 11
4673,Room 11
4675,Room 11
4711,Room 7
4713,Room 7
4715,Room 7
4731,Room 7
4733,Room 7
4735,Room 7
4751,Room 7
4753,Room 7
4755,Room 7
4771,Room 7
4773,Room 7
4775,Room 7
5111,Room 8
5113,Room 8
5115,Room 8
5117,Room 8
5131,Room 8
5133,Room 8
5135,Room 8
5137,Room 8
5151,Room 8
5153,Room 8
5155,Room 8
5157,Room 8
5311,Room 5
5313,Room 5
5315,Room 5
5331,Room 5
5333,Room 5
5335,Room 5
5351,Room 5
5353,Room 5
5355,Room 5
5371,Room 5
5373,Room 5
5375,Room 5
5711,Room 3
5712,Room 3
5714,Room 3
5716,Room 3
5721,Room 3
5722,Room 3
5724,Room 3
5726,Room 3
6121,Hall 2
6141,Hall 2
6161,Hall 2
6181,Hall 2
6211,Hall 3
6231,Hall 3
6251,Hall 3
6271,Hall 3
6291,Hall 3
6341,Hall 1
6343,Hall 1
6345,Hall 1
6347,Hall 1
6351,Hall 1
6353,Hall 1
6355,Hall 1
6357,Hall 1
61101,Hall 2
61121,Hall 2
61141,Hall 2
62111,Hall 3
62131,Hall 3
62151,Hall 3
