rho_0,alpha,mean_pw_distance
40.0,5.5,27.732652805346465
40.0,5.75,27.703452676201938
40.0,5.25,27.471720995686976
40.0,6.0,27.438256027589443
40.0,6.25,26.969851440352457
40.0,5.0,26.91491222659943
40.0,6.5,26.371717767073644
40.0,4.75,26.017686228009595
40.0,6.75,25.675815297256836
40.0,7.0,24.890378471664217
40.0,4.5,24.819971159651306
40.0,4.25,23.45996520915768
40.0,4.0,22.079786491655554
40.0,3.75,20.69977547383158
40.0,3.5,19.319296437377208
40.0,3.25,17.939971217563656
40.0,3.0,16.559945432091258
40.0,2.75,15.179432516914025
40.0,2.5,13.800074518712202
40.0,2.25,12.419398913274813
40.0,2.0,11.039883726485778
40.0,1.75,9.660491154612936
40.0,1.5,8.278975241023948
40.0,1.25,6.89986064841559
40.0,1.0,5.520313161015146
42.5,5.25,26.56687350061315
42.5,5.5,26.55509929795758
42.5,5.75,26.294912878113333
42.5,5.0,26.27388816257154
42.5,6.0,25.82326748699506
42.5,4.75,25.66720099493412
42.5,6.25,25.21809730432504
42.5,4.5,24.708178323698164
42.5,6.5,24.512173537242706
42.5,6.75,23.714692941498395
42.5,4.25,23.452374348305124
42.5,7.0,22.862737270504226
42.5,4.0,22.079786491655554
42.5,3.75,20.69977547383158
42.5,3.5,19.319296437377208
42.5,3.25,17.939971217563656
42.5,3.0,16.559945432091258
42.5,2.75,15.179432516914025
42.5,2.5,13.800074518712202
42.5,2.25,12.41939891327481
42.5,2.0,11.039883726485778
42.5,1.75,9.660491154612936
42.5,1.5,8.278975241023948
42.5,1.25,6.89986064841559
42.5,1.0,5.520313161015146
45.0,5.25,25.406836393276954
45.0,5.0,25.39789514680056
45.0,5.5,25.151609499941365
45.0,4.75,25.07033321316521
45.0,5.75,24.676700892863604
45.0,4.5,24.41183230321746
45.0,6.0,24.063433521693238
45.0,4.25,23.37806947744242
45.0,6.25,23.347119859736296
45.0,6.5,22.53968427636351
45.0,4.0,22.078675588063685
45.0,6.75,21.676159948110538
45.0,7.0,20.758009610553948
45.0,3.75,20.69977547383158
45.0,3.5,19.319296437377208
45.0,3.25,17.939971217563656
45.0,3.0,16.559945432091258
45.0,2.75,15.179432516914025
45.0,2.5,13.800074518712202
45.0,2.25,12.41939891327481
45.0,2.0,11.039883726485778
45.0,1.75,9.660491154612936
45.0,1.5,8.278975241023948
45.0,1.25,6.89986064841559
45.0,1.0,5.520313161015146
47.5,5.0,24.258239566004875
47.5,4.75,24.22592454889901
47.5,5.25,24.00842799830317
47.5,4.5,23.863650794340224
47.5,5.5,23.529973635404133
47.5,4.25,23.141161938847457
47.5,5.75,22.907737350133704
47.5,6.0,22.181030738425857
47.5,4.0,22.037042401972496
47.5,6.25,21.362480878067
47.5,3.75,20.699701635589452
47.5,6.5,20.485478754131687
47.5,6.75,19.55867726752174
47.5,3.5,19.319296437377208
47.5,7.0,18.59803655427328
47.5,3.25,17.939971217563656
47.5,3.0,16.559945432091258
