rho_0,alpha,mean_pw_distance
40.0,5.0,45.72064950272546
40.0,4.75,45.65934477441076
40.0,5.25,45.17397741417994
40.0,4.5,45.004954028833815
40.0,5.5,44.13302075255533
40.0,4.25,43.695307082198816
40.0,5.75,42.664922335942066
40.0,4.0,41.79491480033426
40.0,6.0,40.892512895961374
40.0,3.75,39.42944514071853
40.0,6.25,38.9364195450016
40.0,6.5,36.938957363131344
40.0,3.5,36.80974780470658
40.0,6.75,34.94469095956489
40.0,3.25,34.18133701990391
40.0,7.0,32.97639500435453
40.0,3.0,31.551550452915983
40.0,2.75,28.922440928161652
40.0,2.5,26.29292621505571
40.0,2.25,23.663165262738556
40.0,2.0,21.034396145764553
40.0,1.75,18.406191163245605
40.0,1.5,15.77524196254795
40.0,1.25,13.146946728329015
40.0,1.0,10.517722897596872
42.5,4.75,43.848985327998626
42.5,4.5,43.67469709940457
42.5,5.0,43.38710573976775
42.5,4.25,42.856366281301206
42.5,5.25,42.398568793777564
42.5,4.0,41.37786106297556
42.5,5.5,40.95473010676805
42.5,3.75,39.30557044717756
42.5,5.75,39.18813208847555
42.5,6.0,37.2310991789605
42.5,3.5,36.80974780470658
42.5,6.25,35.23241169832632
42.5,3.25,34.18133701990391
42.5,6.5,33.24095033346673
42.5,3.0,31.551550452915983
42.5,6.75,31.275065661041978
42.5,7.0,29.369561248962196
42.5,2.75,28.922440928161652
42.5,2.5,26.292926215055715
42.5,2.25,23.663165262738552
42.5,2.0,21.034396145764553
42.5,1.75,18.406191163245605
42.5,1.5,15.77524196254795
42.5,1.25,13.146946728329015
42.5,1.0,10.517722897596872
45.0,4.5,41.96116163792427
45.0,4.25,41.65179785848517
45.0,4.75,41.59223144696247
45.0,4.0,40.67005429328058
45.0,5.0,40.65733300743252
45.0,5.25,39.24575795894556
45.0,3.75,39.001783236322105
45.0,5.5,37.48401977553651
45.0,3.5,36.76932543426757
45.0,5.75,35.525675218296826
45.0,3.25,34.18133701990391
45.0,6.0,33.52559976194814
45.0,3.0,31.551550452915983
45.0,6.25,31.53851886496025
45.0,6.5,29.57913499823129
45.0,2.75,28.922440928161652
45.0,6.75,27.687919965630034
45.0,2.5,26.292926215055715
45.0,7.0,25.870900359222208
45.0,2.25,23.663165262738552
45.0,2.0,21.034396145764553
45.0,1.75,18.406191163245605
45.0,1.5,15.77524196254795
45.0,1.25,13.146946728329015
45.0,1.0,10.517722897596872
47.5,4.25,40.045396171661125
47.5,4.5,39.792759273041746
47.5,4.0,39.59795905803981
47.5,4.75,38.915552819066896
47.5,3.75,38.42937037898013
47.5,5.0,37.534992198746046
47.5,3.5,36.56991906851461
47.5,5.25,35.780898421355204
47.5,3.25,34.17821002776995
47.5,5.5,33.820553596029676
47.5,5.75,31.818051811995804
47.5,3.0,31.551550452915983
47.5,6.0,29.837206122159955
47.5,2.75,28.922440928161652
47.5,6.25,27.88540482992713
47.5,2.5,26.292926215055715
47.5,6.5,26.0082511536239
47.5,6.75,24.21618283928803
47.5,2.25,23.663165262738552
47.5,7.0,22.510122907362945
47.5,2.0,21.034396145764553
47.5,1.75,18.406191163245605
47.5,1.5,15.77524196254795
47.5,1.25,13.146946728329011
47.5,1.0,10.517722897596872
50.0,4.0,38.09837845001662
50.0,4.25,37.98025644625605
50.0,3.75,37.50444989066578
50.0,4.5,37.17464002739497
50.0,3.5,36.13326726377242
50.0,4.75,35.823520429817265
50.0,3.25,34.07763232811627
50.0,5.0,34.07679878346586
50.0,5.25,32.116067637100585
50.0,3.0,31.551550452915983
50.0,5.5,30.111502663503337
50.0,2.75,28.922440928161652
50.0,5.75,28.134947593774072
50.0,2.5,26.292926215055715
50.0,6.0,26.194515446089756
50.0,6.25,24.335404134560658
50.0,2.25,23.663165262738552
50.0,6.5,22.567377849874216
50.0,2.0,21.034396145764553
50.0,6.75,20.887809176287654
50.0,7.0,19.299837997404385
50.0,1.75,18.406191163245605
50.0,1.5,15.77524196254795
50.0,1.25,13.146946728329011
50.0,1.0,10.517722897596872
52.5,4.0,36.1465821273295
52.5,3.75,36.133385502856065
52.5,4.25,35.425606747565794
52.5,3.5,35.35178376384568
52.5,4.5,34.11223449840197
52.5,3.25,33.771641690739635
52.5,4.75,32.372194787822224
52.5,3.0,31.529506466124474
52.5,5.0,30.410247813999163
52.5,2.75,28.922440928161652
52.5,5.25,28.40757924108497
52.5,5.5,26.433642104911346
52.5,2.5,26.29292621505571
52.5,5.75,24.506318729944038
52.5,2.25,23.663165262738552
52.5,6.0,22.66624852220122
52.5,2.0,21.034396145764553
52.5,6.25,20.92662721456298
52.5,6.5,19.27791448450328
52.5,1.75,18.406191163245605
52.5,6.75,17.722832676992716
52.5,7.0,16.2568035958469
52.5,1.5,15.77524196254795
52.5,1.25,13.146946728329011
52.5,1.0,10.517722897596872
55.0,3.75,34.29095473766315
55.0,3.5,34.13493070267156
