rho_0,alpha,mean_pw_distance
40.0,6.0,4.905940061348299
40.0,5.75,4.841638618644406
40.0,5.5,4.74931279961021
40.0,5.25,4.627467336049281
40.0,5.0,4.4815725045770405
40.0,4.75,4.320243195021376
40.0,4.5,4.159926144648514
40.0,4.25,4.0292887768448695
40.0,4.0,3.957671001165146
40.0,3.75,3.9382800824197677
40.0,1.25,3.9378372322219377
40.0,1.75,3.9378186960723593
40.0,2.0,3.937814300370527
40.0,1.0,3.937804766134944
40.0,3.25,3.9377962529037585
40.0,3.0,3.9377904298344477
40.0,2.25,3.9377734966951823
40.0,2.5,3.9377679441827116
40.0,2.75,3.937765607127258
40.0,3.5,3.9377532201622705
40.0,1.5,3.9376871928765174
42.5,6.0,4.949986002391934
42.5,5.75,4.905941905342227
42.5,5.5,4.838207066014957
42.5,5.25,4.739879602842933
42.5,5.0,4.6095146079399445
42.5,4.75,4.454230511025048
42.5,4.5,4.284644864949665
42.5,4.25,4.121525226303413
42.5,4.0,4.000738278132934
42.5,3.75,3.9467694057893197
42.5,1.25,3.9378372322219404
42.5,1.75,3.9378186960723602
42.5,2.0,3.937814300370531
42.5,1.0,3.937804766134941
42.5,3.25,3.9377962529037576
42.5,3.0,3.9377904298344477
42.5,2.25,3.9377734966951814
42.5,2.5,3.9377679441827107
42.5,2.75,3.937765607127258
42.5,3.5,3.9377532201622705
42.5,1.5,3.9376871928765174
45.0,6.0,4.978946601878437
45.0,5.75,4.951581341258757
45.0,5.5,4.9059262279015305
45.0,5.25,4.834462118922076
45.0,5.0,4.729242257405565
45.0,4.75,4.589499485244604
45.0,4.5,4.424078216745235
45.0,4.25,4.245965868682304
45.0,4.0,4.082583349476164
45.0,3.75,3.9766343669858055
45.0,3.5,3.939984655637315
45.0,1.25,3.9378372322219404
45.0,1.75,3.937818696072359
45.0,2.0,3.937814300370528
45.0,1.0,3.937804766134941
45.0,3.25,3.9377962529037607
45.0,3.0,3.9377904298344473
45.0,2.25,3.9377734966951827
45.0,2.5,3.9377679441827147
45.0,2.75,3.937765607127258
45.0,1.5,3.93768719287652
47.5,6.0,4.9930820493324
47.5,5.75,4.9806673337614376
47.5,5.5,4.953276860068824
47.5,5.25,4.905929285028159
47.5,5.0,4.83032250769356
47.5,4.75,4.717397158362073
47.5,4.5,4.5674534912829206
47.5,4.25,4.3904873532258595
47.5,4.0,4.204192365514756
47.5,3.75,4.044756789520241
47.5,3.5,3.957653006025403
47.5,3.25,3.9379336287851396
47.5,1.25,3.9378372322219417
47.5,1.75,3.9378186960723602
47.5,2.0,3.9378143003705284
47.5,1.0,3.937804766134941
47.5,3.0,3.93779042983445
47.5,2.25,3.9377734966951827
47.5,2.5,3.9377679441827134
47.5,2.75,3.937765607127257
47.5,1.5,3.937687192876519
50.0,5.75,4.993568499545904
50.0,6.0,4.9887136657369
50.0,5.5,4.9824326581073315
50.0,5.25,4.955114418177661
50.0,5.0,4.905951797981713
50.0,4.75,4.825662504681341
50.0,4.5,4.704277114113438
50.0,4.25,4.542566415541365
50.0,4.0,4.353112858079867
50.0,3.75,4.1599418812075735
50.0,3.5,4.009723544548539
50.0,3.25,3.945515200948661
50.0,1.25,3.9378372322219413
50.0,1.75,3.937818696072359
50.0,2.0,3.937814300370527
50.0,1.0,3.93780476613494
50.0,3.0,3.937790429834449
50.0,2.25,3.9377734966951836
50.0,2.5,3.9377679441827134
50.0,2.75,3.937765607127257
50.0,1.5,3.9376871928765174
52.5,5.5,4.993699789871554
52.5,5.75,4.986066696167296
52.5,5.25,4.984362381766787
52.5,6.0,4.964142279931265
52.5,5.0,4.957080875686738
52.5,4.75,4.905931739182001
52.5,4.5,4.8204161494987465
52.5,4.25,4.68919213502928
52.5,4.0,4.514105894617483
52.5,3.75,4.3116534860943245
52.5,3.5,4.113705931101373
52.5,3.25,3.980359479364969
52.5,3.0,3.9390925570435433
52.5,1.25,3.937837232221943
52.5,1.75,3.9378186960723607
52.5,2.0,3.937814300370528
52.5,1.0,3.9378047661349416
52.5,2.25,3.9377734966951836
52.5,2.5,3.9377679441827134
52.5,2.75,3.937765607127257
52.5,1.5,3.937687192876516
55.0,5.25,4.993325365075182
55.0,5.0,4.986459632313604
55.0,5.5,4.9823887872193735
55.0,4.75,4.959125744076214
55.0,5.75,4.955839671910702
55.0,6.0,4.915105214798462
55.0,4.5,4.9059451445030255
55.0,4.25,4.814339129140469
55.0,4.0,4.671695067711885
55.0,3.75,4.481576484694401
55.0,3.5,4.265650903509566
55.0,3.25,4.067252344389515
55.0,3.0,3.957693808125104
55.0,1.25,3.9378372322219417
55.0,1.75,3.937818696072359
55.0,2.0,3.9378143003705284
55.0,1.0,3.9378047661349425
55.0,2.25,3.9377734966951836
55.0,2.5,3.9377679441827116
55.0,2.75,3.937765607127257
55.0,1.5,3.9376871928765165
57.5,5.0,4.992502436545218
57.5,4.75,4.988396608464049
57.5,5.25,4.9774938421927
57.5,4.5,4.96140971109584
57.5,5.5,4.945476465401603
57.5,4.25,4.905914515200444
57.5,5.75,4.897125813292553
57.5,6.0,4.832353763440679
57.5,4.0,4.807429873532886
57.5,3.75,4.651294521720634
57.5,3.5,4.444436855927581
57.5,3.25,4.214916180872889
57.5,3.0,4.023335303592952
57.5,2.75,3.943949759738741
57.5,1.25,3.9378372322219417
57.5,1.75,3.9378186960723602
57.5,2.0,3.9378143003705284
57.5,1.0,3.9378047661349425
57.5,2.25,3.9377734966951836
57.5,2.5,3.9377679441827147
57.5,1.5,3.9376871928765174
60.0,4.75,4.991109420751178
60.0,4.5,4.990193360402071
60.0,5.0,4.971020610178892
60.0,4.25,4.963865008232399
60.0,5.25,4.932184112611411
60.0,4.0,4.90594845828295
60.0,5.5,4.8746613335781985
60.0,3.75,4.799415512113753
60.0,5.75,4.798824879171467
60.0,6.0,4.710439181112869
60.0,3.5,4.627432153598396
60.0,3.25,4.402128798623013
60.0,3.0,4.1599153648153155
60.0,2.75,3.9857630261939803
60.0,2.5,3.9382350626586393
60.0,1.25,3.9378372322219404
60.0,1.75,3.9378186960723593
60.0,2.0,3.937814300370527
60.0,1.0,3.937804766134943
60.0,2.25,3.9377734966951836
60.0,1.5,3.9376871928765174
62.5,4.25,4.9917240114365375
62.5,4.5,4.988683324307656
62.5,4.0,4.96657806939439
62.5,4.75,4.962178666866393
62.5,5.0,4.9150949494959795
62.5,3.75,4.905937115857181
62.5,5.25,4.846475693778375
62.5,3.5,4.790011401852224
