rho_0,alpha,device,mean_error,error_list
40.0,1.0,1002,21.27,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.09, 27.78, 24.81, 25.12, 22.7, 22.82, 23.16, 43.08, 42.58, 42.19, 41.77, 40.62, 40.21, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 13.22, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 24.33, 20.83, 21.2, 22.67, 21.42, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 37.57, 37.09, 36.68, 36.96, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,104D,20.43,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 26.8, 27.09, 24.7, 24.81, 25.12, 22.7, 22.82, 23.16, 42.19, 40.62, 40.21, 39.88, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 0.0, 20.7, 20.83, 21.2, 22.67, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 37.09, 36.68, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,10CE,20.78,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 26.04, 22.82, 23.16, 43.68, 43.08, 4.4, 42.19, 2.97, 4.83, 40.21, 39.88, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 38.09, 37.57, 37.09, 36.68, 36.96, 36.43, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.82, 9.27]"
40.0,1.0,1210,21.25,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.12, 26.04, 22.82, 23.16, 43.68, 43.08, 42.58, 42.19, 41.77, 41.14, 40.62, 40.21, 39.88, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 37.09, 36.68, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,1211,20.76,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 26.04, 24.96, 24.05, 42.58, 42.19, 40.62, 40.21, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 36.68, 36.96, 35.93, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,1212,20.79,"[41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 26.04, 24.96, 23.16, 43.68, 43.08, 42.58, 42.19, 41.77, 41.14, 40.62, 40.21, 39.88, 4.57, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 37.09, 36.68, 36.96, 36.43, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,121D,21.45,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 22.7, 24.96, 23.16, 43.68, 43.08, 42.58, 42.19, 41.14, 4.83, 40.21, 39.88, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 8.07, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 24.33, 20.83, 21.2, 22.67, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 38.09, 37.57, 37.09, 36.68, 36.96, 36.43, 35.93, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,1F61,21.2,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 26.7, 28.62, 27.83, 27.78, 24.81, 25.12, 22.7, 24.96, 24.05, 43.08, 42.58, 42.19, 40.62, 40.21, 39.88, 39.22, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 37.57, 37.09, 36.68, 36.96, 36.43, 35.93, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,2005,21.22,"[41.83, 41.65, 41.6, 39.84, 39.66, 39.6, 37.86, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 26.04, 22.82, 23.16, 43.68, 43.08, 4.4, 42.19, 41.77, 41.14, 40.62, 40.21, 39.22, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 4.3, 6.8, 4.79, 3.11, 2.3, 6.4, 4.2, 2.1, 0.0, 20.7, 20.83, 21.2, 18.7, 18.84, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 38.09, 37.57, 37.09, 7.73, 36.96, 36.43, 35.93, 35.51, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
40.0,1.0,2055,20.11,"[41.83, 41.65, 13.2, 39.84, 39.66, 39.6, 9.53, 37.66, 37.6, 35.87, 35.66, 35.6, 33.89, 33.67, 33.6, 12.6, 12.81, 13.41, 10.4, 10.65, 11.37, 8.1, 8.42, 9.32, 29.56, 28.62, 27.83, 27.78, 26.77, 25.93, 26.04, 24.96, 24.05, 43.68, 43.08, 4.4, 41.77, 2.97, 4.83, 40.21, 39.88, 4.57, 38.67, 38.24, 20.97, 20.61, 20.5, 19.02, 18.62, 18.5, 17.08, 16.63, 16.5, 15.15, 14.65, 14.5, 13.25, 12.68, 12.5, 11.38, 10.71, 10.5, 9.57, 8.76, 8.5, 7.85, 6.83, 6.5, 28.84, 28.58, 28.5, 26.86, 26.58, 26.5, 24.89, 24.59, 24.5, 22.93, 22.6, 22.5, 6.0, 6.43, 7.56, 4.0, 4.61, 6.1, 2.0, 3.05, 5.02, 0.0, 2.3, 4.6, 7.71, 6.01, 4.79, 6.8, 4.79, 3.11, 6.4, 4.2, 2.1, 0.0, 24.33, 20.83, 21.2, 18.7, 21.42, 19.26, 16.7, 16.86, 17.32, 14.7, 14.88, 15.4, 38.09, 37.09, 36.68, 36.96, 35.38, 33.42, 31.46, 29.5, 21.57, 19.68, 17.81, 15.97, 14.18, 32.11, 31.87, 31.74, 31.7, 30.82, 30.58, 30.44, 30.4, 27.55, 25.61, 23.68, 12.46, 10.8, 9.27]"
