rho_0,alpha,mean_error
40.0,1.0,20.93
40.0,1.25,20.61
40.0,1.5,20.31
40.0,1.75,19.93
40.0,2.0,19.09
40.0,2.25,18.25
40.0,2.5,17.46
40.0,2.75,16.39
40.0,3.0,15.55
40.0,3.25,14.86
40.0,3.5,14.05
40.0,3.75,12.27
40.0,4.0,9.48
40.0,4.25,7.24
40.0,4.5,5.54
40.0,4.75,4.64
40.0,5.0,4.0
40.0,5.25,3.54
40.0,5.5,3.26
40.0,5.75,3.19
40.0,6.0,3.12
40.0,6.25,3.09
40.0,6.5,3.23
40.0,6.75,3.34
40.0,7.0,3.54
42.5,1.0,20.68
42.5,1.25,20.39
42.5,1.5,20.02
42.5,1.75,19.28
42.5,2.0,18.31
42.5,2.25,17.59
42.5,2.5,16.6
42.5,2.75,15.61
42.5,3.0,14.97
42.5,3.25,14.23
42.5,3.5,12.67
42.5,3.75,9.92
42.5,4.0,7.4
42.5,4.25,5.56
42.5,4.5,4.61
42.5,4.75,3.94
42.5,5.0,3.49
42.5,5.25,3.22
42.5,5.5,3.14
42.5,5.75,3.03
42.5,6.0,3.09
42.5,6.25,3.23
42.5,6.5,3.38
42.5,6.75,3.58
42.5,7.0,3.74
45.0,1.0,20.51
45.0,1.25,20.1
45.0,1.5,19.42
45.0,1.75,18.44
45.0,2.0,17.73
45.0,2.25,16.7
45.0,2.5,15.68
45.0,2.75,15.02
45.0,3.0,14.45
45.0,3.25,13.12
45.0,3.5,10.53
45.0,3.75,7.72
45.0,4.0,5.58
45.0,4.25,4.57
45.0,4.5,3.88
45.0,4.75,3.44
45.0,5.0,3.16
45.0,5.25,3.05
45.0,5.5,3.02
45.0,5.75,3.08
45.0,6.0,3.25
45.0,6.25,3.45
45.0,6.5,3.62
45.0,6.75,3.78
45.0,7.0,3.94
47.5,1.0,20.19
47.5,1.25,19.53
47.5,1.5,18.57
47.5,1.75,17.85
47.5,2.0,16.77
47.5,2.25,15.79
47.5,2.5,15.06
47.5,2.75,14.54
47.5,3.0,13.47
47.5,3.25,11.06
47.5,3.5,8.15
47.5,3.75,5.62
47.5,4.0,4.54
47.5,4.25,3.83
47.5,4.5,3.37
47.5,4.75,3.09
47.5,5.0,2.99
47.5,5.25,2.99
47.5,5.5,3.13
47.5,5.75,3.28
47.5,6.0,3.5
47.5,6.25,3.65
47.5,6.5,3.86
47.5,6.75,3.99
47.5,7.0,4.0
50.0,1.0,19.62
50.0,1.25,18.71
50.0,1.5,17.91
50.0,1.75,16.85
50.0,2.0,15.95
50.0,2.25,15.13
50.0,2.5,14.59
50.0,2.75,13.72
50.0,3.0,11.72
50.0,3.25,8.59
50.0,3.5,5.81
50.0,3.75,4.48
50.0,4.0,3.79
50.0,4.25,3.32
50.0,4.5,3.07
50.0,4.75,2.96
50.0,5.0,2.94
50.0,5.25,3.15
50.0,5.5,3.37
50.0,5.75,3.58
50.0,6.0,3.71
50.0,6.25,3.88
50.0,6.5,3.99
50.0,6.75,4.0
50.0,7.0,4.05
52.5,1.0,18.87
52.5,1.25,18.0
52.5,1.5,17.02
52.5,1.75,16.0
52.5,2.0,15.17
52.5,2.25,14.65
52.5,2.5,13.89
52.5,2.75,12.25
52.5,3.0,9.29
52.5,3.25,6.11
52.5,3.5,4.49
52.5,3.75,3.75
52.5,4.0,3.25
52.5,4.25,2.99
52.5,4.5,2.92
52.5,4.75,2.97
52.5,5.0,3.19
52.5,5.25,3.45
52.5,5.5,3.62
52.5,5.75,3.78
52.5,6.0,3.94
52.5,6.25,3.95
52.5,6.5,4.02
52.5,6.75,4.02
52.5,7.0,3.97
55.0,1.0,18.02
55.0,1.25,17.12
55.0,1.5,16.17
55.0,1.75,15.26
55.0,2.0,14.65
55.0,2.25,14.02
55.0,2.5,12.6
55.0,2.75,9.95
55.0,3.0,6.57
55.0,3.25,4.51
55.0,3.5,3.73
55.0,3.75,3.2
55.0,4.0,2.94
55.0,4.25,2.9
55.0,4.5,3.0
55.0,4.75,3.23
55.0,5.0,3.51
55.0,5.25,3.69
55.0,5.5,3.85
55.0,5.75,3.92
55.0,6.0,3.93
55.0,6.25,4.01
55.0,6.5,4.01
55.0,6.75,3.93
55.0,7.0,3.88
57.5,1.0,17.27
57.5,1.25,16.24
57.5,1.5,15.34
57.5,1.75,14.68
57.5,2.0,14.08
57.5,2.25,12.93
57.5,2.5,10.65
57.5,2.75,7.12
57.5,3.0,4.57
57.5,3.25,3.66
57.5,3.5,3.15
57.5,3.75,2.86
57.5,4.0,2.87
57.5,4.25,3.01
57.5,4.5,3.32
57.5,4.75,3.55
57.5,5.0,3.75
57.5,5.25,3.9
57.5,5.5,3.9
57.5,5.75,3.95
57.5,6.0,4.0
57.5,6.25,3.95
57.5,6.5,3.89
57.5,6.75,3.82
57.5,7.0,3.75
60.0,1.0,16.44
60.0,1.25,15.48
60.0,1.5,14.74
60.0,1.75,14.12
60.0,2.0,13.25
60.0,2.25,11.16
60.0,2.5,7.84
60.0,2.75,4.73
60.0,3.0,3.62
60.0,3.25,3.09
60.0,3.5,2.81
60.0,3.75,2.85
60.0,4.0,3.05
60.0,4.25,3.37
60.0,4.5,3.63
60.0,4.75,3.8
60.0,5.0,3.88
60.0,5.25,3.88
60.0,5.5,3.99
