algorithm,rho_0,alpha,mean_error
Mean-Chebyshev,40.0,5.5,2.85
Mean-Chebyshev,42.5,5.25,2.84
Mean-Chebyshev,45.0,5.25,2.71
Mean-Chebyshev,47.5,5.0,2.71
Mean-Chebyshev,50.0,4.75,2.69
Mean-Chebyshev,52.5,4.5,2.67
Mean-Chebyshev,55.0,4.25,2.65
Mean-Chebyshev,57.5,4.0,2.65
Mean-Chebyshev,60.0,3.75,2.66
Mean-Chebyshev,62.5,3.5,2.68
Mean-Chebyshev,65.0,3.25,2.67
Mean-Chebyshev,67.5,3.0,2.68
Mean-Chebyshev,70.0,2.75,2.7
Mean-Chebyshev,72.5,2.5,2.72
Mean-Chebyshev,75.0,2.25,2.75
Mean-Chebyshev,77.5,2.0,2.79
Mean-Chebyshev,80.0,1.75,2.83
Mean-Euclidean,40.0,5.0,3.42
Mean-Euclidean,42.5,4.75,3.38
Mean-Euclidean,45.0,4.5,3.33
Mean-Euclidean,47.5,4.25,3.32
Mean-Euclidean,50.0,4.0,3.3
Mean-Euclidean,52.5,4.0,2.92
Mean-Euclidean,55.0,3.75,2.9
Mean-Euclidean,57.5,3.5,2.89
Mean-Euclidean,60.0,3.25,2.9
Mean-Euclidean,62.5,3.0,2.86
Mean-Euclidean,65.0,2.75,2.87
Mean-Euclidean,67.5,2.75,2.67
Mean-Euclidean,70.0,2.5,2.68
Mean-Euclidean,72.5,2.25,2.68
Mean-Euclidean,75.0,2.0,2.72
Mean-Euclidean,77.5,1.75,2.73
Mean-Euclidean,80.0,1.75,2.83
NN,40.0,6.25,3.09
NN,42.5,5.75,3.03
NN,45.0,5.5,3.02
NN,47.5,5.0,2.99
NN,50.0,5.0,2.94
NN,52.5,4.5,2.92
NN,55.0,4.25,2.9
NN,57.5,3.75,2.86
NN,60.0,3.5,2.81
NN,62.5,3.25,2.77
NN,65.0,3.0,2.77
NN,67.5,2.75,2.73
NN,70.0,2.5,2.75
NN,72.5,2.25,2.77
NN,75.0,2.0,2.82
NN,77.5,1.75,2.86
NN,80.0,1.5,2.94
SLSQP(+),40.0,6.0,2.75
SLSQP(+),42.5,5.75,2.7
SLSQP(+),45.0,5.25,2.71
SLSQP(+),47.5,5.25,2.69
SLSQP(+),50.0,4.75,2.69
SLSQP(+),52.5,4.5,2.67
SLSQP(+),55.0,4.25,2.65
SLSQP(+),57.5,4.0,2.65
SLSQP(+),60.0,3.75,2.66
SLSQP(+),62.5,3.25,2.66
SLSQP(+),65.0,3.25,2.67
SLSQP(+),67.5,2.75,2.67
SLSQP(+),70.0,2.5,2.68
SLSQP(+),72.5,2.25,2.68
SLSQP(+),75.0,2.0,2.72
SLSQP(+),77.5,1.75,2.73
SLSQP(+),80.0,1.5,2.75
