rho_0,alpha,device,,error_list
40.0,1.0,1002,mean,22.08
40.0,1.0,1002,median,21.89
40.0,1.0,1002,rmse,25.18
40.0,1.0,1002,max,43.6
40.0,1.0,1002,min,0.7
40.0,1.0,1002,count,141.0
40.0,1.0,1002,std,12.11
40.0,1.0,104D,mean,21.24
40.0,1.0,104D,median,21.03
40.0,1.0,104D,rmse,24.3
40.0,1.0,104D,max,43.14
40.0,1.0,104D,min,0.7
40.0,1.0,104D,count,136.0
40.0,1.0,104D,std,11.82
40.0,1.0,10CE,mean,21.61
40.0,1.0,10CE,median,21.03
40.0,1.0,10CE,rmse,24.9
40.0,1.0,10CE,max,44.66
40.0,1.0,10CE,min,0.7
40.0,1.0,10CE,count,146.0
40.0,1.0,10CE,std,12.38
40.0,1.0,1210,mean,22.05
40.0,1.0,1210,median,21.4
40.0,1.0,1210,rmse,25.3
40.0,1.0,1210,max,44.22
40.0,1.0,1210,min,0.7
40.0,1.0,1210,count,143.0
40.0,1.0,1210,std,12.41
40.0,1.0,1211,mean,21.58
40.0,1.0,1211,median,21.03
40.0,1.0,1211,rmse,24.62
40.0,1.0,1211,max,43.1
40.0,1.0,1211,min,0.7
40.0,1.0,1211,count,136.0
40.0,1.0,1211,std,11.86
40.0,1.0,1212,mean,21.61
40.0,1.0,1212,median,20.66
40.0,1.0,1212,rmse,24.87
40.0,1.0,1212,max,44.22
40.0,1.0,1212,min,0.7
40.0,1.0,1212,count,141.0
40.0,1.0,1212,std,12.31
40.0,1.0,121D,mean,22.26
40.0,1.0,121D,median,21.89
40.0,1.0,121D,rmse,25.51
40.0,1.0,121D,max,44.66
40.0,1.0,121D,min,0.7
40.0,1.0,121D,count,147.0
40.0,1.0,121D,std,12.45
40.0,1.0,1F61,mean,22.0
40.0,1.0,1F61,median,21.46
40.0,1.0,1F61,rmse,25.18
40.0,1.0,1F61,max,43.62
40.0,1.0,1F61,min,0.7
40.0,1.0,1F61,count,144.0
40.0,1.0,1F61,std,12.24
40.0,1.0,2005,mean,22.01
