rho_0,alpha,mean_error
40.0,1.0,21.74
40.0,1.25,21.39
40.0,1.5,21.03
40.0,1.75,20.58
40.0,2.0,19.65
40.0,2.25,18.72
40.0,2.5,17.75
40.0,2.75,16.53
40.0,3.0,15.58
40.0,3.25,14.84
40.0,3.5,13.93
40.0,3.75,11.96
40.0,4.0,8.97
40.0,4.25,6.61
40.0,4.5,4.85
40.0,4.75,3.98
40.0,5.0,3.42
40.0,5.25,3.06
40.0,5.5,2.85
40.0,5.75,2.8
40.0,6.0,2.75
40.0,6.25,2.75
40.0,6.5,2.85
40.0,6.75,2.92
40.0,7.0,3.09
42.5,1.0,21.47
42.5,1.25,21.14
42.5,1.5,20.7
42.5,1.75,19.86
42.5,2.0,18.79
42.5,2.25,17.91
42.5,2.5,16.71
42.5,2.75,15.65
42.5,3.0,14.93
42.5,3.25,14.11
42.5,3.5,12.39
42.5,3.75,9.43
42.5,4.0,6.82
42.5,4.25,4.88
42.5,4.5,3.96
42.5,4.75,3.38
42.5,5.0,3.03
42.5,5.25,2.84
42.5,5.5,2.76
42.5,5.75,2.7
42.5,6.0,2.75
42.5,6.25,2.86
42.5,6.5,2.94
42.5,6.75,3.14
42.5,7.0,3.3
45.0,1.0,21.27
45.0,1.25,20.79
45.0,1.5,20.02
45.0,1.75,18.94
45.0,2.0,18.08
45.0,2.25,16.82
45.0,2.5,15.72
45.0,2.75,14.96
45.0,3.0,14.33
45.0,3.25,12.89
45.0,3.5,10.1
45.0,3.75,7.16
45.0,4.0,4.91
45.0,4.25,3.93
45.0,4.5,3.33
45.0,4.75,3.01
45.0,5.0,2.8
45.0,5.25,2.71
45.0,5.5,2.71
45.0,5.75,2.76
45.0,6.0,2.87
45.0,6.25,3.04
45.0,6.5,3.22
45.0,6.75,3.36
45.0,7.0,3.52
47.5,1.0,20.9
47.5,1.25,20.14
47.5,1.5,19.09
47.5,1.75,18.2
47.5,2.0,16.9
47.5,2.25,15.82
47.5,2.5,15.0
47.5,2.75,14.41
47.5,3.0,13.26
47.5,3.25,10.68
47.5,3.5,7.62
47.5,3.75,4.98
47.5,4.0,3.93
47.5,4.25,3.32
47.5,4.5,2.98
47.5,4.75,2.77
47.5,5.0,2.71
47.5,5.25,2.69
47.5,5.5,2.79
47.5,5.75,2.9
47.5,6.0,3.1
47.5,6.25,3.23
47.5,6.5,3.43
47.5,6.75,3.56
47.5,7.0,3.64
50.0,1.0,20.24
50.0,1.25,19.24
50.0,1.5,18.29
50.0,1.75,17.0
50.0,2.0,15.98
50.0,2.25,15.04
50.0,2.5,14.46
50.0,2.75,13.55
50.0,3.0,11.41
50.0,3.25,8.08
50.0,3.5,5.19
50.0,3.75,3.87
50.0,4.0,3.3
50.0,4.25,2.95
50.0,4.5,2.77
50.0,4.75,2.69
50.0,5.0,2.69
50.0,5.25,2.8
50.0,5.5,2.95
50.0,5.75,3.16
50.0,6.0,3.31
50.0,6.25,3.44
50.0,6.5,3.58
50.0,6.75,3.63
50.0,7.0,3.67
52.5,1.0,19.42
52.5,1.25,18.4
52.5,1.5,17.2
52.5,1.75,16.0
52.5,2.0,15.08
52.5,2.25,14.52
