rho_0,alpha,mean_error
40.0,6.25,2.75
40.0,6.5,2.85
40.0,6.75,2.92
40.0,7.0,3.09
42.5,6.25,2.86
42.5,6.5,2.94
42.5,6.75,3.14
42.5,7.0,3.3
45.0,6.25,3.04
45.0,6.5,3.22
45.0,6.75,3.36
45.0,7.0,3.52
47.5,6.25,3.23
47.5,6.5,3.43
47.5,6.75,3.56
47.5,7.0,3.64
50.0,6.25,3.44
50.0,6.5,3.58
50.0,6.75,3.63
50.0,7.0,3.67
52.5,6.25,3.57
52.5,6.5,3.63
52.5,6.75,3.68
52.5,7.0,3.66
55.0,6.25,3.61
55.0,6.5,3.66
55.0,6.75,3.63
55.0,7.0,3.64
57.5,6.25,3.63
57.5,6.5,3.62
57.5,6.75,3.58
57.5,7.0,3.53
60.0,6.25,3.56
60.0,6.5,3.5
60.0,6.75,3.46
60.0,7.0,3.47
62.5,6.25,3.45
62.5,6.5,3.45
62.5,6.75,3.46
62.5,7.0,3.43
65.0,6.25,3.39
65.0,6.5,3.41
65.0,6.75,3.45
65.0,7.0,3.42
67.5,6.25,3.39
67.5,6.5,3.43
67.5,6.75,3.4
67.5,7.0,3.41
70.0,6.25,3.39
70.0,6.5,3.41
70.0,6.75,3.47
70.0,7.0,3.53
72.5,6.25,3.44
72.5,6.5,3.51
72.5,6.75,3.58
72.5,7.0,3.65
75.0,6.25,3.58
75.0,6.5,3.77
75.0,6.75,4.25
75.0,7.0,4.6
77.5,6.25,4.48
77.5,6.5,4.76
77.5,6.75,5.76
77.5,7.0,6.19
80.0,6.25,6.16
80.0,6.5,11.6
80.0,6.75,22.13
80.0,7.0,22.13
