LABEL,MEAN_ERROR
1611,1.6566666666666667
1613,2.2244444444444444
1615,5.591000000000001
1631,2.009
1633,3.4730000000000003
1635,4.741
1651,2.7399999999999998
1653,3.271
1655,4.404999999999999
1671,0.9840000000000002
1673,1.5040000000000002
1675,3.568
1691,1.4339999999999997
1693,1.7899999999999998
1695,2.996
3911,1.5230000000000001
3913,2.585
3915,4.417
3931,0.6890000000000001
3933,2.41
3935,4.2829999999999995
3951,1.7709999999999997
3953,2.928
3955,4.4
4011,1.9620000000000002
4013,1.9860000000000002
4015,3.029
4031,1.7119999999999997
4033,0.828
4035,3.561
4051,2.941
4053,2.1879999999999997
4055,3.8440000000000003
4111,1.8499999999999996
4113,2.8425000000000002
4115,2.39
4117,5.92
4131,0.836
4133,1.4000000000000001
4135,2.533
4137,4.018
4151,3.8628571428571425
4153,1.517777777777778
4155,3.6822222222222223
4157,6.119
4311,2.3609999999999998
4313,1.587
4315,3.12
4331,1.393
4333,0.977
4335,2.896
4351,2.29
4353,1.073
4355,2.815
4371,1.8760000000000001
4373,1.799
4375,2.9769999999999994
4511,2.3080000000000003
4513,1.6960000000000002
4515,3.5799999999999996
4531,1.7840000000000003
4533,1.116
4535,3.077
4551,1.133
4553,2.0229999999999997
4555,2.287
4571,2.152
4573,2.8449999999999998
4575,2.7079999999999997
4611,2.187
4613,1.9489999999999998
4615,4.380000000000001
4631,2.169
4633,2.4250000000000003
4635,4.632
4651,2.734
4653,2.572
4655,3.2479999999999998
4671,1.7860000000000003
4673,2.091
4675,3.4850000000000003
4711,2.646
4713,2.114
4715,3.5200000000000005
4731,2.1522222222222225
4733,2.974
4735,3.7990000000000004
4751,2.37125
4753,3.007
4755,4.589
4771,2.9440000000000004
4773,3.785
4775,5.463
5111,2.393
5113,4.3050000000000015
5115,3.2600000000000002
5117,3.615
5131,2.0869999999999997
5133,2.749
5135,3.1990000000000003
5137,4.7588888888888885
5151,2.003
5153,2.726
5155,3.8588888888888886
5157,5.720000000000001
5311,1.303
5313,2.6209999999999996
5315,4.307
5331,0.9369999999999999
5333,2.0940000000000003
5335,4.354
5351,0.733
5353,2.347
5355,4.188000000000001
5371,1.6189999999999998
5373,3.09
5375,4.564
5711,1.665
5712,1.8399999999999999
5714,2.4033333333333333
5716,2.6559999999999997
5721,4.585
5722,4.660000000000001
5724,2.825
5726,3.4957142857142856
6121,1.6030000000000002
6141,1.219
6161,1.8190000000000002
6181,3.0739999999999994
6211,3.0029999999999997
6231,1.2730000000000001
6251,1.485
6271,1.939
6291,1.2260000000000002
6341,1.299
6343,1.175
6345,1.073
6347,1.454
6351,1.952
6353,2.566
6355,2.445555555555556
6357,2.0599999999999996
61101,1.938
61121,1.445
61141,2.662
62111,1.074
62131,2.373
62151,3.154
